ZIP Code,Total Blocks,Annual Crop,Forest,Herbaceous Vegetation,Highway,Industrial,Pasture,Permanent Crop,Residential,River,Sea Lake
77003,42,0,0,34,1,5,0,2,0,0,0
77002,56,0,0,38,1,13,0,0,4,0,0
77010,1,0,0,1,0,0,0,0,0,0,0
77020,110,0,0,63,3,15,1,7,19,0,0
77007,96,0,2,54,3,16,3,0,18,0,0
77004,70,0,0,55,3,9,0,1,2,0,0
77019,36,0,0,16,0,3,2,0,15,0,0
77009,42,0,0,12,8,1,0,0,21,0,0
77006,25,0,0,18,0,2,0,0,5,0,0
77023,81,0,0,56,3,9,1,0,12,0,0
77026,48,0,0,15,1,2,0,8,21,0,0
77011,56,0,0,43,1,9,0,0,2,0,0
77008,40,0,0,9,1,6,0,2,22,0,0
77098,12,0,0,5,0,6,0,0,1,0,0
77005,40,0,0,10,0,8,0,1,21,0,0
77030,30,0,0,20,0,6,0,0,4,0,0
77021,70,0,0,43,7,12,0,2,6,0,0
77029,208,1,5,101,20,40,6,10,21,1,0
77022,54,0,0,35,2,6,0,0,11,0,0
77054,88,0,1,45,9,20,0,1,11,1,0
77012,64,0,0,35,6,14,1,3,4,0,0
77093,154,0,1,104,11,7,1,1,28,0,0
77027,30,0,0,8,2,15,0,0,4,0,0
77087,99,0,1,63,5,12,1,1,15,0,0
77033,63,0,0,39,3,6,2,2,11,0,0
77016,169,0,1,109,11,9,4,12,23,0,0
77051,80,0,0,42,13,8,3,4,9,0,0
77025,45,0,0,18,4,9,1,1,12,0,0
77017,143,0,0,92,6,26,2,0,17,0,0
77013,84,0,3,25,16,19,4,4,10,0,0
77401,42,0,0,8,2,17,0,0,15,0,0
77056,36,0,0,13,1,8,0,0,14,0,0
77081,49,0,0,5,2,19,0,0,22,0,0
77547,30,0,0,8,1,7,1,4,7,1,0
77076,48,0,0,32,2,8,0,0,6,0,0
77045,143,0,1,66,18,15,6,17,19,0,0
77091,60,0,0,17,1,8,0,14,17,0,0
77061,100,0,1,49,5,27,0,2,15,0,0
77096,60,0,0,20,1,5,0,0,33,0,0
77048,120,1,3,59,12,9,7,20,7,0,0
77047,180,2,2,78,33,12,10,20,22,1,0
77035,99,0,0,27,8,14,0,14,34,0,0
77015,368,3,13,103,41,61,9,18,75,6,3
77506,90,0,0,30,12,27,1,5,9,1,0
77037,88,0,0,48,4,17,1,2,15,0,0
77502,50,0,0,22,0,10,1,1,16,0,0
77075,140,0,0,39,26,38,0,12,15,1,0
77587,21,0,0,10,0,2,0,4,5,0,0
77044,750,15,90,352,58,25,40,44,68,1,51
77039,112,0,1,53,14,19,3,8,14,0,0
77080,72,0,0,36,1,18,0,1,15,0,0
77034,216,2,0,86,19,46,6,15,31,1,0
77050,84,1,5,55,8,1,7,1,4,1,0
77085,63,0,0,28,10,7,1,6,11,0,0
77040,192,1,0,69,7,101,0,3,11,0,0
77060,96,0,0,40,8,36,0,2,10,0,0
77053,45,0,0,22,7,2,0,3,10,0,0
77041,304,3,1,95,8,146,2,4,36,1,1
77504,49,0,0,16,1,20,0,3,9,0,0
77042,72,0,0,25,5,14,0,0,27,0,0
77503,105,2,0,36,10,31,4,0,20,0,0
77032,252,1,5,86,57,72,5,13,7,1,0
77043,108,1,4,58,5,28,2,1,9,0,0
77396,288,6,17,164,41,16,7,17,17,1,0
77086,99,1,0,8,2,85,0,0,2,1,0
77031,42,0,0,18,1,19,0,1,3,0,0
77089,192,0,3,107,17,16,4,7,30,0,0
77530,180,5,4,64,10,8,11,13,31,1,12
77079,75,0,0,26,3,32,0,1,13,0,0
77505,77,0,0,29,7,14,2,2,21,0,0
77536,160,0,0,56,4,50,3,9,35,2,0
77077,91,0,0,34,2,31,1,1,22,0,0
77082,66,0,4,18,2,17,1,2,18,0,0
77099,63,0,1,37,1,17,0,1,6,0,0
77064,168,1,0,28,3,127,0,1,7,0,1
77066,117,0,0,13,1,100,0,0,3,0,0
77073,154,0,3,59,27,28,3,14,13,0,0
